date,slot,pillar,topic,hook_formula,slug,status
2026-08-19,19:30,Curriculum Decoded,AS vs full A Level — the decision most parents make by accident,1 Contradiction,2026-08-19_as-vs-full-a-level-the-decision-most-parents-make-by,planned
2026-08-20,07:30,Parent Scripts,The three words that make a child stop telling you about school,2 Cost of Inaction,2026-08-20_the-three-words-that-make-a-child-stop-telling-you-a,planned
2026-08-20,19:30,Inside the Method,Why the first session is never about the current homework,3 Insider,2026-08-20_why-the-first-session-is-never-about-the-current-hom,planned
2026-08-21,07:30,Maths Confidence,"Maths anxiety is a memory problem, not a personality",4 Named Enemy,2026-08-21_maths-anxiety-is-a-memory-problem-not-a-personality,planned
2026-08-21,19:30,School Choice,What to look for in a school's maths department specifically,5 Specific Number,2026-08-21_what-to-look-for-in-a-school-s-maths-department-spec,planned
2026-08-22,07:30,Reactive,A curriculum change is coming — here's the honest read,6 Direct Address,2026-08-22_a-curriculum-change-is-coming-here-s-the-honest-read,planned
2026-08-22,19:30,Parent Scripts,How to talk about a subject you personally found hard,7 Permission,2026-08-22_how-to-talk-about-a-subject-you-personally-found-har,planned
2026-08-23,07:30,Curriculum Decoded,What 'predicted grades' actually mean and who decides them,8 Unanswerable Question,2026-08-23_what-predicted-grades-actually-mean-and-who-decides,planned
2026-08-23,19:30,Maths Confidence,The negative numbers gap nobody diagnoses,9 Prediction,2026-08-23_the-negative-numbers-gap-nobody-diagnoses,planned
2026-08-24,07:30,Curriculum Decoded,The three IGCSE subjects that quietly close doors at 16,1 Contradiction,2026-08-24_the-three-igcse-subjects-that-quietly-close-doors-at,planned
2026-08-24,19:30,Parent Scripts,What to say when your child compares themselves to a sibling,2 Cost of Inaction,2026-08-24_what-to-say-when-your-child-compares-themselves-to-a,planned
2026-08-25,07:30,Maths Confidence,Why more tuition on this week's topic won't fix a three-year-old gap,3 Insider,2026-08-25_why-more-tuition-on-this-week-s-topic-won-t-fix-a-th,planned
2026-08-25,19:30,School Choice,Why the newest school in the area is not automatically the best bet,4 Named Enemy,2026-08-25_why-the-newest-school-in-the-area-is-not-automatical,planned
2026-08-26,07:30,Reactive,"The AI-in-schools debate, from someone who has run a department",5 Specific Number,2026-08-26_the-ai-in-schools-debate-from-someone-who-has-run-a,planned
2026-08-26,19:30,Curriculum Decoded,IB Maths AA vs AI — the choice that decides engineering eligibility,6 Direct Address,2026-08-26_ib-maths-aa-vs-ai-the-choice-that-decides-engineerin,planned
2026-08-27,07:30,Parent Scripts,"How to raise a concern about a teacher, properly",7 Permission,2026-08-27_how-to-raise-a-concern-about-a-teacher-properly,planned
2026-08-27,19:30,Inside the Method,What fifteen years on the school leadership side taught me about parents,8 Unanswerable Question,2026-08-27_what-fifteen-years-on-the-school-leadership-side-tau,planned
2026-08-28,07:30,Maths Confidence,How to tell whether your child is stuck or just tired,9 Prediction,2026-08-28_how-to-tell-whether-your-child-is-stuck-or-just-tire,planned
2026-08-28,19:30,School Choice,How to tell if a school actually supports children who fall behind,1 Contradiction,2026-08-28_how-to-tell-if-a-school-actually-supports-children-w,planned
2026-08-29,07:30,Reactive,What the newest PISA data actually says about maths teaching,2 Cost of Inaction,2026-08-29_what-the-newest-pisa-data-actually-says-about-maths,planned
2026-08-29,19:30,Parent Scripts,What to say the night before an exam — and what to never say,3 Insider,2026-08-29_what-to-say-the-night-before-an-exam-and-what-to-nev,planned
2026-08-30,07:30,Curriculum Decoded,Why your child's school changed exam boards and what it means for them,4 Named Enemy,2026-08-30_why-your-child-s-school-changed-exam-boards-and-what,planned
2026-08-30,19:30,Maths Confidence,The reason bright children stop putting their hand up in Year 8,5 Specific Number,2026-08-30_the-reason-bright-children-stop-putting-their-hand-u,planned
2026-08-31,07:30,Curriculum Decoded,How Cambridge grade boundaries actually move each year,6 Direct Address,2026-08-31_how-cambridge-grade-boundaries-actually-move-each-ye,planned
2026-08-31,19:30,Parent Scripts,How to respond when your child says the teacher hates them,7 Permission,2026-08-31_how-to-respond-when-your-child-says-the-teacher-hate,planned
2026-09-01,07:30,Maths Confidence,What happens in a child's brain in the ten seconds before a timed test,8 Unanswerable Question,2026-09-01_what-happens-in-a-child-s-brain-in-the-ten-seconds-b,planned
2026-09-01,19:30,School Choice,"The question about teacher turnover you should ask, and how",9 Prediction,2026-09-01_the-question-about-teacher-turnover-you-should-ask-a,planned
2026-09-02,07:30,Reactive,Grade inflation headlines — what parents should ignore and what they shouldn't,1 Contradiction,2026-09-02_grade-inflation-headlines-what-parents-should-ignore,planned
2026-09-02,19:30,Curriculum Decoded,What a coursework component really costs your child in a maths-heavy timetable,2 Cost of Inaction,2026-09-02_what-a-coursework-component-really-costs-your-child,planned
2026-09-03,07:30,Parent Scripts,The question to ask after school instead of 'how was your day',3 Insider,2026-09-03_the-question-to-ask-after-school-instead-of-how-was,planned
2026-09-03,19:30,Inside the Method,The one thing I check before I look at any exam paper,4 Named Enemy,2026-09-03_the-one-thing-i-check-before-i-look-at-any-exam-pape,planned
2026-09-04,07:30,Maths Confidence,Why 'just practise more' is the worst advice in maths,5 Specific Number,2026-09-04_why-just-practise-more-is-the-worst-advice-in-maths,planned
2026-09-04,19:30,School Choice,When moving your child schools is the right call — and when it isn't,6 Direct Address,2026-09-04_when-moving-your-child-schools-is-the-right-call-and,planned
2026-09-05,07:30,Reactive,A new school opening in the area: how to evaluate it in week one,7 Permission,2026-09-05_a-new-school-opening-in-the-area-how-to-evaluate-it,planned
2026-09-05,19:30,Parent Scripts,How to handle it when your child lies about homework,8 Unanswerable Question,2026-09-05_how-to-handle-it-when-your-child-lies-about-homework,planned
2026-09-06,07:30,Curriculum Decoded,The truth about retaking IGCSE Maths,9 Prediction,2026-09-06_the-truth-about-retaking-igcse-maths,planned
2026-09-06,19:30,Maths Confidence,The two questions that reveal exactly where a child's maths broke,1 Contradiction,2026-09-06_the-two-questions-that-reveal-exactly-where-a-child,planned
2026-09-07,07:30,Curriculum Decoded,Why 'we follow the British curriculum' can mean four different things in Dubai,2 Cost of Inaction,2026-09-07_why-we-follow-the-british-curriculum-can-mean-four-d,planned
2026-09-07,19:30,Parent Scripts,What to say when your child wants to drop maths,3 Insider,2026-09-07_what-to-say-when-your-child-wants-to-drop-maths,planned
2026-09-08,07:30,Maths Confidence,"Why your child's calculator dependence is a symptom, not the problem",4 Named Enemy,2026-09-08_why-your-child-s-calculator-dependence-is-a-symptom,planned
2026-09-08,19:30,School Choice,What a good school's response to a complaint tells you about everything else,5 Specific Number,2026-09-08_what-a-good-school-s-response-to-a-complaint-tells-y,planned
2026-09-09,07:30,Reactive,What changed in university admissions this cycle,6 Direct Address,2026-09-09_what-changed-in-university-admissions-this-cycle,planned
2026-09-09,19:30,Curriculum Decoded,GCSE vs IGCSE — the difference that matters for UK university applications,7 Permission,2026-09-09_gcse-vs-igcse-the-difference-that-matters-for-uk-uni,planned
2026-09-10,07:30,Parent Scripts,How to disagree with your child's school without making them the battleground,8 Unanswerable Question,2026-09-10_how-to-disagree-with-your-child-s-school-without-mak,planned
2026-09-10,19:30,Inside the Method,"How mentorship differs from tuition, concretely",9 Prediction,2026-09-10_how-mentorship-differs-from-tuition-concretely,planned
2026-09-11,07:30,Maths Confidence,How a single humiliating maths moment can cost four years,1 Contradiction,2026-09-11_how-a-single-humiliating-maths-moment-can-cost-four,planned
2026-09-11,19:30,School Choice,How to compare a British curriculum school in Dubai with one in the UK,2 Cost of Inaction,2026-09-11_how-to-compare-a-british-curriculum-school-in-dubai,planned
2026-09-12,07:30,Reactive,The teacher shortage story and what it means in your child's classroom,3 Insider,2026-09-12_the-teacher-shortage-story-and-what-it-means-in-your,planned
2026-09-12,19:30,Parent Scripts,What to say to a child who is doing fine but believes they're failing,4 Named Enemy,2026-09-12_what-to-say-to-a-child-who-is-doing-fine-but-believe,planned
2026-09-13,07:30,Curriculum Decoded,What the UCAS points table doesn't tell you about maths grades,5 Specific Number,2026-09-13_what-the-ucas-points-table-doesn-t-tell-you-about-ma,planned
2026-09-13,19:30,Maths Confidence,The confidence collapse that happens at every school transition,6 Direct Address,2026-09-13_the-confidence-collapse-that-happens-at-every-school,planned
2026-09-14,07:30,Curriculum Decoded,Foundation vs Higher tier — the ceiling nobody mentions at parents' evening,7 Permission,2026-09-14_foundation-vs-higher-tier-the-ceiling-nobody-mention,planned
2026-09-14,19:30,Parent Scripts,"The conversation to have before choosing IGCSE options, not after",8 Unanswerable Question,2026-09-14_the-conversation-to-have-before-choosing-igcse-optio,planned
2026-09-15,07:30,Maths Confidence,Why children who are good at mental maths sometimes struggle most at A Level,9 Prediction,2026-09-15_why-children-who-are-good-at-mental-maths-sometimes,planned
2026-09-15,19:30,School Choice,The hidden costs in a Dubai school fee structure,1 Contradiction,2026-09-15_the-hidden-costs-in-a-dubai-school-fee-structure,planned
2026-09-16,07:30,Reactive,New assessment rules — a plain-English translation,2 Cost of Inaction,2026-09-16_new-assessment-rules-a-plain-english-translation,planned
2026-09-16,19:30,Curriculum Decoded,How many A Levels your child actually needs for a Russell Group offer,3 Insider,2026-09-16_how-many-a-levels-your-child-actually-needs-for-a-ru,planned
2026-09-17,07:30,Parent Scripts,How to talk to a teenager about university without them shutting down,4 Named Enemy,2026-09-17_how-to-talk-to-a-teenager-about-university-without-t,planned
2026-09-17,19:30,Inside the Method,Why I turn some families away,5 Specific Number,2026-09-17_why-i-turn-some-families-away,planned
2026-09-18,07:30,Maths Confidence,"What genuine mathematical fluency looks like, and what it isn't",6 Direct Address,2026-09-18_what-genuine-mathematical-fluency-looks-like-and-wha,planned
2026-09-18,19:30,School Choice,Why 'we don't set by ability' can be good news or very bad news,7 Permission,2026-09-18_why-we-don-t-set-by-ability-can-be-good-news-or-very,planned
2026-09-19,07:30,Reactive,What the latest tutoring industry report gets wrong about outcomes,8 Unanswerable Question,2026-09-19_what-the-latest-tutoring-industry-report-gets-wrong,planned
2026-09-19,19:30,Parent Scripts,What to say when your child fails something for the first time,9 Prediction,2026-09-19_what-to-say-when-your-child-fails-something-for-the,planned
2026-09-20,07:30,Curriculum Decoded,The subject combination that quietly rules out medicine,1 Contradiction,2026-09-20_the-subject-combination-that-quietly-rules-out-medic,planned
2026-09-20,19:30,Maths Confidence,The difference between a child who is behind and a child who is lost,2 Cost of Inaction,2026-09-20_the-difference-between-a-child-who-is-behind-and-a-c,planned
2026-09-21,07:30,Curriculum Decoded,What happens to your child's grades when you move countries mid-key-stage,3 Insider,2026-09-21_what-happens-to-your-child-s-grades-when-you-move-co,planned
2026-09-21,19:30,Parent Scripts,How to praise effort without it sounding hollow,4 Named Enemy,2026-09-21_how-to-praise-effort-without-it-sounding-hollow,planned
2026-09-22,07:30,Maths Confidence,Why perfectionist children avoid the questions they'd learn most from,5 Specific Number,2026-09-22_why-perfectionist-children-avoid-the-questions-they,planned
2026-09-22,19:30,School Choice,"What to watch for on a school tour in the corridors, not the classrooms",6 Direct Address,2026-09-22_what-to-watch-for-on-a-school-tour-in-the-corridors,planned
2026-09-23,07:30,Reactive,A policy change nobody explained to parents,7 Permission,2026-09-23_a-policy-change-nobody-explained-to-parents,planned
2026-09-23,19:30,Curriculum Decoded,Why Year 9 options evening is the most important hour of secondary school,8 Unanswerable Question,2026-09-23_why-year-9-options-evening-is-the-most-important-hou,planned
2026-09-24,07:30,Parent Scripts,What to say when your child is being compared to a cousin,9 Prediction,2026-09-24_what-to-say-when-your-child-is-being-compared-to-a-c,planned
2026-09-24,19:30,Inside the Method,What a good progress conversation with a parent sounds like,1 Contradiction,2026-09-24_what-a-good-progress-conversation-with-a-parent-soun,planned
2026-09-25,07:30,Maths Confidence,The revision method that feels productive and teaches nothing,2 Cost of Inaction,2026-09-25_the-revision-method-that-feels-productive-and-teache,planned
2026-09-25,19:30,School Choice,How to evaluate a school's sixth form before your child is anywhere near it,3 Insider,2026-09-25_how-to-evaluate-a-school-s-sixth-form-before-your-ch,planned
2026-09-26,07:30,Reactive,Exam timetable changes and the revision consequence nobody mentions,4 Named Enemy,2026-09-26_exam-timetable-changes-and-the-revision-consequence,planned
2026-09-26,19:30,Parent Scripts,How to set a phone rule that survives past week two,5 Specific Number,2026-09-26_how-to-set-a-phone-rule-that-survives-past-week-two,planned
2026-09-27,07:30,Curriculum Decoded,The maths content that changed in the last syllabus update,6 Direct Address,2026-09-27_the-maths-content-that-changed-in-the-last-syllabus,planned
2026-09-27,19:30,Maths Confidence,"What happens when a child is moved down a set, and how to handle it",7 Permission,2026-09-27_what-happens-when-a-child-is-moved-down-a-set-and-ho,planned
2026-09-28,07:30,Curriculum Decoded,What a 9-1 grade actually maps to in the old system,8 Unanswerable Question,2026-09-28_what-a-9-1-grade-actually-maps-to-in-the-old-system,planned
2026-09-28,19:30,Parent Scripts,What to say when your child asks if they're clever,9 Prediction,2026-09-28_what-to-say-when-your-child-asks-if-they-re-clever,planned
2026-09-29,07:30,Maths Confidence,Why a child who says maths is boring usually means something else,1 Contradiction,2026-09-29_why-a-child-who-says-maths-is-boring-usually-means-s,planned
2026-09-29,19:30,School Choice,The admissions test your child can and can't prepare for,2 Cost of Inaction,2026-09-29_the-admissions-test-your-child-can-and-can-t-prepare,planned
2026-09-30,07:30,Reactive,What the recent results-day data says about maths specifically,3 Insider,2026-09-30_what-the-recent-results-day-data-says-about-maths-sp,planned
2026-09-30,19:30,Curriculum Decoded,Why some universities still ask for a specific maths module,4 Named Enemy,2026-09-30_why-some-universities-still-ask-for-a-specific-maths,planned
2026-10-01,07:30,Parent Scripts,How to apologise to your teenager and why it works,5 Specific Number,2026-10-01_how-to-apologise-to-your-teenager-and-why-it-works,planned
2026-10-01,19:30,Inside the Method,The record I keep on every student and why parents get to see it,6 Direct Address,2026-10-01_the-record-i-keep-on-every-student-and-why-parents-g,planned
2026-10-02,07:30,Maths Confidence,The link between handwriting speed and maths marks nobody mentions,7 Permission,2026-10-02_the-link-between-handwriting-speed-and-maths-marks-n,planned
2026-10-02,19:30,School Choice,What a founding school gets right and wrong in its first three years,8 Unanswerable Question,2026-10-02_what-a-founding-school-gets-right-and-wrong-in-its-f,planned
2026-10-03,07:30,Reactive,The screen-time study everyone shared — what it actually found,9 Prediction,2026-10-03_the-screen-time-study-everyone-shared-what-it-actual,planned
2026-10-03,19:30,Parent Scripts,What to say when a friendship problem is wrecking their schoolwork,1 Contradiction,2026-10-03_what-to-say-when-a-friendship-problem-is-wrecking-th,planned
2026-10-04,07:30,Curriculum Decoded,The difference between a mock grade and a predicted grade,2 Cost of Inaction,2026-10-04_the-difference-between-a-mock-grade-and-a-predicted,planned
2026-10-04,19:30,Maths Confidence,How to rebuild a child's maths confidence in six weeks,3 Insider,2026-10-04_how-to-rebuild-a-child-s-maths-confidence-in-six-wee,planned
